Paper,Year,Citations
1985PhRvL..55.2656B,1994,103
1985PhRvL..55.2656B,1995,107
1985PhRvL..55.2656B,1996,112
1985PhRvL..55.2656B,1997,119
1985PhRvL..55.2656B,1998,120
1985PhRvL..55.2656B,1999,120
1985PhRvL..55.2656B,2000,128
1985PhRvL..55.2656B,2001,135
1985PhRvL..55.2656B,2002,148
1985PhRvL..55.2656B,2003,165
1985PhRvL..55.2656B,2004,182
1985PhRvL..55.2656B,2005,215
1985PhRvL..55.2656B,2006,243
1985PhRvL..55.2656B,2007,277
1985PhRvL..55.2656B,2008,327
1985PhRvL..55.2656B,2009,372
1985PhRvL..55.2656B,2010,433
1985PhRvL..55.2656B,2011,492
1985PhRvL..55.2656B,2012,535
1985PhRvL..55.2656B,2013,583
1985PhRvL..55.2656B,2014,635
1985PhRvL..55.2656B,2015,689
1985PhRvL..55.2656B,2016,728
1985PhRvL..55.2656B,2017,777
1985ApJ...298L...7H,1986,14
1985ApJ...298L...7H,1987,24
1985ApJ...298L...7H,1988,56
1985ApJ...298L...7H,1989,76
1985ApJ...298L...7H,1990,95
1985ApJ...298L...7H,1991,111
1985ApJ...298L...7H,1992,133
1985ApJ...298L...7H,1993,151
1985ApJ...298L...7H,1994,166
1985ApJ...298L...7H,1995,184
1985ApJ...298L...7H,1996,199
1985ApJ...298L...7H,1997,213
1985ApJ...298L...7H,1998,237
1985ApJ...298L...7H,1999,264
1985ApJ...298L...7H,2000,282
1985ApJ...298L...7H,2001,318
1985ApJ...298L...7H,2002,339
1985ApJ...298L...7H,2003,371
1985ApJ...298L...7H,2004,396
1985ApJ...298L...7H,2005,422
1985ApJ...298L...7H,2006,446
1985ApJ...298L...7H,2007,473
1985ApJ...298L...7H,2008,494
1985ApJ...298L...7H,2009,524
1985ApJ...298L...7H,2010,567
1985ApJ...298L...7H,2011,594
1985ApJ...298L...7H,2012,620
1985ApJ...298L...7H,2013,653
1985ApJ...298L...7H,2014,683
1985ApJ...298L...7H,2015,714
1985ApJ...298L...7H,2016,734
1985ApJ...298L...7H,2017,763
1985PhRvL..55.2692V,1986,12
1985PhRvL..55.2692V,1987,55
1985PhRvL..55.2692V,1988,85
1985PhRvL..55.2692V,1989,116
1985PhRvL..55.2692V,1990,154
1985PhRvL..55.2692V,1991,184
1985PhRvL..55.2692V,1992,206
1985PhRvL..55.2692V,1993,236
1985PhRvL..55.2692V,1994,260
1985PhRvL..55.2692V,1995,286
1985PhRvL..55.2692V,1996,308
1985PhRvL..55.2692V,1997,326
1985PhRvL..55.2692V,1998,347
1985PhRvL..55.2692V,1999,367
1985PhRvL..55.2692V,2000,400
1985PhRvL..55.2692V,2001,421
1985PhRvL..55.2692V,2002,450
1985PhRvL..55.2692V,2003,478
1985PhRvL..55.2692V,2004,505
1985PhRvL..55.2692V,2005,531
1985PhRvL..55.2692V,2006,565
1985PhRvL..55.2692V,2007,589
1985PhRvL..55.2692V,2008,611
1985PhRvL..55.2692V,2009,638
1985PhRvL..55.2692V,2010,660
1985PhRvL..55.2692V,2011,684
1985PhRvL..55.2692V,2012,714
1985PhRvL..55.2692V,2013,735
1985PhRvL..55.2692V,2014,762
1985PhRvL..55.2692V,2015,769
1985PhRvL..55.2692V,2016,784
1985PhRvL..55.2692V,2017,807
1985ApJ...290L..25A,1985,8
1985ApJ...290L..25A,1986,22
1985ApJ...290L..25A,1987,46
1985ApJ...290L..25A,1988,73
1985ApJ...290L..25A,1989,101
1985ApJ...290L..25A,1990,129
1985ApJ...290L..25A,1991,147
1985ApJ...290L..25A,1992,182
1985ApJ...290L..25A,1993,207
1985ApJ...290L..25A,1994,229
1985ApJ...290L..25A,1995,256
1985ApJ...290L..25A,1996,282
1985ApJ...290L..25A,1997,296
1985ApJ...290L..25A,1998,312
1985ApJ...290L..25A,1999,333
1985ApJ...290L..25A,2000,352
1985ApJ...290L..25A,2001,376
1985ApJ...290L..25A,2002,395
1985ApJ...290L..25A,2003,410
1985ApJ...290L..25A,2004,423
1985ApJ...290L..25A,2005,449
1985ApJ...290L..25A,2006,468
1985ApJ...290L..25A,2007,491
1985ApJ...290L..25A,2008,509
1985ApJ...290L..25A,2009,531
1985ApJ...290L..25A,2010,552
1985ApJ...290L..25A,2011,578
1985ApJ...290L..25A,2012,601
1985ApJ...290L..25A,2013,626
