Author,Year,Citations,Journal,
Tielens,2012,747, The Astrophysical Journal,
Tielens,2013,790, The Astrophysical Journal,
Tielens,2014,823, The Astrophysical Journal,
Tielens,2015,861, The Astrophysical Journal,
Tielens,2016,897, The Astrophysical Journal,
Tielens,2017,939, The Astrophysical Journal,
Zinn,1985,5, The Astrophysical Journal,
Zinn,1986,28, The Astrophysical Journal,
Zinn,1987,60, The Astrophysical Journal,
Zinn,1988,88, The Astrophysical Journal,
Zinn,1989,117, The Astrophysical Journal,
Zinn,1990,148, The Astrophysical Journal,
Zinn,1991,199, The Astrophysical Journal,
Zinn,1992,250, The Astrophysical Journal,
Zinn,1993,299, The Astrophysical Journal,
Zinn,1994,348, The Astrophysical Journal,
Zinn,1995,398, The Astrophysical Journal,
Zinn,1996,440, The Astrophysical Journal,
Zinn,1997,490, The Astrophysical Journal,
Zinn,1998,520, The Astrophysical Journal,
Zinn,1999,551, The Astrophysical Journal,
Zinn,2000,590, The Astrophysical Journal,
Zinn,2001,616, The Astrophysical Journal,
Zinn,2002,642, The Astrophysical Journal,
Zinn,2003,658, The Astrophysical Journal,
Zinn,2004,683, The Astrophysical Journal,
Zinn,2005,704, The Astrophysical Journal,
Zinn,2006,726, The Astrophysical Journal,
Zinn,2007,740, The Astrophysical Journal,
Zinn,2008,753, The Astrophysical Journal,
Zinn,2009,773, The Astrophysical Journal,
Zinn,2010,800, The Astrophysical Journal,
Zinn,2011,815, The Astrophysical Journal,
Zinn,2012,833, The Astrophysical Journal,
Zinn,2013,851, The Astrophysical Journal,
Zinn,2014,864, The Astrophysical Journal,
Zinn,2015,874, The Astrophysical Journal,
Zinn,2016,887, The Astrophysical Journal,
Zinn,2017,900, The Astrophysical Journal,
Binggeli,1985,2, The Astronomical Journal,
Binggeli,1986,15, The Astronomical Journal,
Binggeli,1987,31, The Astronomical Journal,
Binggeli,1988,56, The Astronomical Journal,
Binggeli,1989,85, The Astronomical Journal,
Binggeli,1990,117, The Astronomical Journal,
Binggeli,1991,139, The Astronomical Journal,
Binggeli,1992,160, The Astronomical Journal,
Binggeli,1993,185, The Astronomical Journal,
Binggeli,1994,208, The Astronomical Journal,
Binggeli,1995,241, The Astronomical Journal,
Binggeli,1996,275, The Astronomical Journal,
Binggeli,1997,308, The Astronomical Journal,
Binggeli,1998,337, The Astronomical Journal,
Binggeli,1999,364, The Astronomical Journal,
Binggeli,2000,395, The Astronomical Journal,
Binggeli,2001,420, The Astronomical Journal,
Binggeli,2002,457, The Astronomical Journal,
Binggeli,2003,481, The Astronomical Journal,
Binggeli,2004,510, The Astronomical Journal,
Binggeli,2005,532, The Astronomical Journal,
Binggeli,2006,565, The Astronomical Journal,
Binggeli,2007,590, The Astronomical Journal,
Binggeli,2008,617, The Astronomical Journal,
Binggeli,2009,649, The Astronomical Journal,
Binggeli,2010,676, The Astronomical Journal,
Binggeli,2011,695, The Astronomical Journal,
Binggeli,2012,725, The Astronomical Journal,
Binggeli,2013,749, The Astronomical Journal,
Binggeli,2014,774, The Astronomical Journal,
Binggeli,2015,799, The Astronomical Journal,
Binggeli,2016,829, The Astronomical Journal,
Binggeli,2017,847, The Astronomical Journal,
Affleck,1985,2, Nuclear Physics B,
Affleck,1986,11, Nuclear Physics B,
Affleck,1987,27, Nuclear Physics B,
Affleck,1988,41, Nuclear Physics B,
Affleck,1989,47, Nuclear Physics B,
Affleck,1990,52, Nuclear Physics B,
Affleck,1991,60, Nuclear Physics B,
Affleck,1992,66, Nuclear Physics B,
Affleck,1993,73, Nuclear Physics B,
Affleck,1994,87, Nuclear Physics B,
Affleck,1995,99, Nuclear Physics B,
Affleck,1996,122, Nuclear Physics B,
Affleck,1997,137, Nuclear Physics B,
Affleck,1998,159, Nuclear Physics B,
Affleck,1999,186, Nuclear Physics B,
Affleck,2000,229, Nuclear Physics B,
Affleck,2001,257, Nuclear Physics B,
Affleck,2002,298, Nuclear Physics B,
Affleck,2003,327, Nuclear Physics B,
Affleck,2004,368, Nuclear Physics B,
Affleck,2005,403, Nuclear Physics B,
Affleck,2006,428, Nuclear Physics B,
Affleck,2007,460, Nuclear Physics B,
Affleck,2008,490, Nuclear Physics B,
Affleck,2009,515, Nuclear Physics B,
Affleck,2010,540, Nuclear Physics B,
Affleck,2011,579, Nuclear Physics B,
Affleck,2012,604, Nuclear Physics B,
Affleck,2013,639, Nuclear Physics B,
Affleck,2014,680, Nuclear Physics B,
Affleck,2015,713, Nuclear Physics B,
Affleck,2016,753, Nuclear Physics B,
Affleck,2017,776, Nuclear Physics B,
't Hooft,1986,2, Nuclear Physics B,
't Hooft,1987,5, Nuclear Physics B,
't Hooft,1988,6, Nuclear Physics B,
't Hooft,1989,7, Nuclear Physics B,
't Hooft,1990,9, Nuclear Physics B,
't Hooft,1991,12, Nuclear Physics B,
't Hooft,1992,15, Nuclear Physics B,
't Hooft,1993,19, Nuclear Physics B,
't Hooft,1994,39, Nuclear Physics B,
't Hooft,1995,81, Nuclear Physics B,
't Hooft,1996,127, Nuclear Physics B,
't Hooft,1997,159, Nuclear Physics B,
't Hooft,1998,185, Nuclear Physics B,
